"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","BASIC-EVALUATION---METTA-LANGUAGE15.05","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","5","CONTROL-FLOW---METTA-LANGUAGE9.01","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","11","CONCRETE-TYPES---METTA-LANGUAGE13.01","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","00-LANG-CASE.18","","Wed Nov 20 21:14:17 GMT 2024","passed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","D1-GADT.02","","Wed Nov 20 21:10:52 GMT 2024","passed","Wed Nov 20 21:10:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","3","XOR-TEST.02","","Wed Nov 20 21:14:17 GMT 2024","passed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","5","CONTROLLING-PATTERN-MATCHING---METTA-LANGUAGE7.01","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","9000","metta_lang.Operations_over_atoms___MeTTa_Language1","","Wed Nov 20 21:05:48 GMT 2024","passed","Wed Nov 20 21:05:57 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","97","RECURSIVE-AND-PARAMETRIC-TYPES---METTA-LANGUAGE1.03","","Wed Nov 20 21:24:55 GMT 2024","failed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","60","METATYPES---METTA-LANGUAGE8.04","","Wed Nov 20 21:24:55 GMT 2024","failed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","HANDLING-NONDETERMINISTIC-RESULTS---METTA-LANGUAGE5.03","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","84","HANDLING-NONDETERMINISTIC-RESULTS---METTA-LANGUAGE6.04","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","129","MINIMAL-METTA-TESTS.29","","Wed Nov 20 21:14:17 GMT 2024","failed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","MATCH-SUPERPOSED-SPACES.04","","Wed Nov 20 21:46:24 GMT 2024","passed","Wed Nov 20 21:46:24 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","63","F1-IMPORTS.11","","Wed Nov 20 21:10:52 GMT 2024","failed","Wed Nov 20 21:10:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","29","BC-COMP.04","","Wed Nov 20 21:05:56 GMT 2024","passed","Wed Nov 20 21:05:56 GMT 2024","","ANTI-REGRESSION","ANTI-REGRESSION",""
"","3","OPERATIONS-OVER-ATOMS---METTA-LANGUAGE3.02","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","90","CALL-CLEANUP-TESTS.06","","Wed Nov 20 21:14:17 GMT 2024","failed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","4","METATYPES---METTA-LANGUAGE4.01","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","3","D2-HIGHERFUNC.01","","Wed Nov 20 21:50:36 GMT 2024","passed","Wed Nov 20 21:50:36 GMT 2024","","QUICK","QUICK",""
"","9000","quick.c1_grounded_basic","","Wed Nov 20 21:05:48 GMT 2024","passed","Wed Nov 20 21:05:57 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","14","HANDLING-NONDETERMINISTIC-RESULTS---METTA-LANGUAGE4.01","","Wed Nov 20 21:24:55 GMT 2024","failed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","5","CONTROLLING-PATTERN-MATCHING---METTA-LANGUAGE2.01","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","CONTROL-FLOW---METTA-LANGUAGE10.04","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","20","G1-DOCS.01","","Wed Nov 20 21:10:52 GMT 2024","passed","Wed Nov 20 21:10:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","1","B2-BACKCHAIN.03","","Wed Nov 20 21:10:52 GMT 2024","passed","Wed Nov 20 21:10:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","108","EVAL-FOR-TESTS.04","","Wed Nov 20 21:14:17 GMT 2024","failed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","9000","metta_lang.Basic_grounded_functions___MeTTa_Language4","","Wed Nov 20 21:05:48 GMT 2024","passed","Wed Nov 20 21:05:57 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","4","F1-IMPORTS.02","","Wed Nov 20 21:10:52 GMT 2024","passed","Wed Nov 20 21:10:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","MATCH-SUPERPOSED-SPACES.01","","Wed Nov 20 21:46:24 GMT 2024","passed","Wed Nov 20 21:46:24 GMT 2024","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","5","OPERATIONS-OVER-ATOMS---METTA-LANGUAGE2.01","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","HYPERPOSE-TESTS.03","","Wed Nov 20 21:14:17 GMT 2024","passed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","INTERSECTION-TESTS.08","","Wed Nov 20 21:14:17 GMT 2024","passed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","9000","metta_lang.Handling_nondeterministic_results___MeTTa_Language7","","Wed Nov 20 21:05:48 GMT 2024","passed","Wed Nov 20 21:05:57 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","WORKING-WITH-SPACES---METTA-LANGUAGE9.03","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","2","RECURSIVE-AND-PARAMETRIC-TYPES---METTA-LANGUAGE7.06","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","4","F1-IMPORTS.01","","Wed Nov 20 21:05:39 GMT 2024","passed","Wed Nov 20 21:05:39 GMT 2024","","MODULE-SYSTEM","MODULE-SYSTEM",""
"","3","SUBTRACTION-TEST.01","","Wed Nov 20 21:14:17 GMT 2024","passed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2","WORKING-WITH-SPACES---METTA-LANGUAGE12.04","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","4","CONCRETE-TYPES---METTA-LANGUAGE3.01","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","869","WORKING-WITH-SPACES---METTA-LANGUAGE13.02","","Wed Nov 20 21:24:55 GMT 2024","failed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","4","CONCRETE-TYPES---METTA-LANGUAGE10.01","","Wed Nov 20 21:24:55 GMT 2024","passed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
"","8000","metta_lang.Basic_grounded_functions___MeTTa_Language1","","Wed Nov 20 21:05:48 GMT 2024","passed","Wed Nov 20 21:05:56 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","1","D1-GADT.06","","Wed Nov 20 21:10:52 GMT 2024","passed","Wed Nov 20 21:10:52 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","1","SPACE-INTERSECTION-TESTS.04","","Wed Nov 20 21:14:17 GMT 2024","passed","Wed Nov 20 21:14:17 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","110","OPERATIONS-OVER-ATOMS---METTA-LANGUAGE1.02","","Wed Nov 20 21:24:55 GMT 2024","failed","Wed Nov 20 21:24:55 GMT 2024","","METTA-LANG","METTA-LANG",""
